fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.34726,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.33058,0.01053,0.01041,0.92417,0.00045,3.14624,0.75105,7.59361,0.48314,1.49017,0.01571,0.7,0.4,0.0,0.09621,0.50401,0.0,0.0,0.0,0.51794,0.99101,0.0,0.0
0.33125,0.00999,0.01,0.93663,0.0005,2.99874,0.80074,7.49179,0.5,1.50424,0.015,0.70061,0.40074,0.0,0.1,0.5,0.0,0.0,0.0,0.50006,1.0,0.0,0.0
0.33567,0.01,0.00995,0.937,0.0005,2.52091,0.5775,7.35184,0.50326,1.48246,0.01563,0.7723,0.44767,0.0,0.10303,0.41786,0.0,0.0,0.0,0.52181,0.86684,0.0,0.0
0.32255,0.01138,0.00995,0.94961,0.00048,2.25751,0.55648,7.89459,0.3937,1.88317,0.01563,0.6798,0.33842,0.0,0.09963,0.37552,0.0,0.0,0.0,0.47116,0.77185,0.0,0.0
0.333,0.01039,0.00875,0.94263,0.0005,2.61344,0.76073,6.66737,0.46531,1.54382,0.01582,0.77458,0.37188,0.0,0.1,0.47452,0.0,0.0,0.0,0.50866,0.91024,0.0,0.0
0.3315,0.00959,0.00939,0.91165,0.00059,3.94555,0.75328,7.96153,0.5,1.547,0.015,0.80113,0.29091,0.0,0.12876,0.36259,0.0,0.0,0.0,0.50006,1.0,0.0,0.0
0.32069,0.00994,0.01,0.92745,0.00051,3.0,0.8,7.50081,0.49331,1.46539,0.015,0.69298,0.40675,0.0,0.0979,0.50741,0.0,0.0,0.0,0.50847,0.97175,0.0,0.0
0.3264,0.00994,0.01009,0.93363,0.0005,3.00823,0.80834,7.59048,0.49622,1.48969,0.01478,0.6999,0.4039,0.0,0.10003,0.50512,0.0,0.0,0.0,0.49516,0.98754,0.0,0.0
0.33816,0.01023,0.00998,0.937,0.0005,2.89719,0.78887,7.25204,0.48843,1.4756,0.01495,0.70209,0.40027,0.0,0.10148,0.50612,0.0,0.0,0.0,0.51642,0.96635,0.0,0.0
0.32628,0.00962,0.0089,0.93682,0.0005,2.61344,0.85492,6.01364,0.42181,1.69436,0.01586,0.70129,0.35169,0.0,0.10453,0.47452,0.0,0.0,0.0,0.62334,0.85573,0.0,0.0
0.33575,0.00991,0.01001,0.95984,0.00058,2.93082,0.74406,7.25204,0.47021,1.38948,0.01372,0.62791,0.41669,0.0,0.10887,0.5018,0.0,0.0,0.0,0.52636,1.0,0.0,0.0
0.33457,0.00987,0.00959,0.94052,0.0005,3.08121,0.81039,6.86561,0.4388,1.53027,0.01412,0.66591,0.38371,0.0,0.10856,0.49099,0.0,0.0,0.0,0.51642,0.96635,0.0,0.0
0.32772,0.01,0.01096,0.937,0.0005,3.0091,0.94358,7.5,0.53811,1.74329,0.01594,0.7,0.36,0.0,0.12841,0.42702,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.31593,0.01065,0.01,0.937,0.00053,2.96351,0.8209,7.25444,0.52327,1.5,0.01503,0.6988,0.40339,0.0,0.09713,0.5161,0.0,0.0,0.0,0.49608,0.95564,0.0,0.0
0.33013,0.00985,0.00936,0.97046,0.00033,3.97982,0.80329,8.254,0.54693,1.55786,0.01318,0.65188,0.39107,0.0,0.08039,0.5,0.0,0.0,0.0,0.46055,1.0,0.0,0.0
0.32894,0.01158,0.01029,0.98,0.0005,4.50831,0.88956,10.12252,0.5,1.5,0.01502,0.4612,0.40179,0.0,0.1,0.48442,0.0,0.0,0.0,0.5,0.80813,0.0,0.0
0.33189,0.00968,0.00782,0.937,0.00053,3.0,0.73928,7.29942,0.4658,1.71942,0.01497,0.6824,0.4,0.0,0.08096,0.52377,0.0,0.0,0.0,0.50258,1.0,0.0,0.0
0.33699,0.01093,0.00975,0.937,0.00046,2.25133,0.58713,5.56698,0.51681,1.38593,0.01703,0.8995,0.44767,0.0,0.11915,0.51987,0.0,0.0,0.0,0.42249,0.93972,0.0,0.0
0.33513,0.011,0.01104,0.97958,0.0005,1.78326,0.7335,9.68745,0.54528,1.5,0.01227,0.70025,0.51944,0.0,0.1,0.42499,0.0,0.0,0.0,0.59911,1.0,0.0,0.0
0.31609,0.00895,0.01018,0.93264,0.0005,3.0,0.8,8.17712,0.5,1.57856,0.01576,0.77762,0.31866,0.0,0.12453,0.39152,0.0,0.0,0.0,0.43732,1.0,0.0,0.0
0.33656,0.00983,0.01047,0.94739,0.00043,3.11352,0.8,7.89517,0.48824,1.74267,0.01427,0.768,0.38111,0.0,0.10391,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.32732,0.00851,0.00977,0.93105,0.0005,3.30498,0.81031,6.72722,0.45154,1.81091,0.01448,0.7,0.37485,0.0,0.08009,0.5,0.0,0.0,0.0,0.49255,1.0,0.0,0.0
0.33934,0.01014,0.01,0.9514,0.0005,3.02899,0.85148,6.90508,0.52226,1.61012,0.01392,0.73078,0.39982,0.0,0.09439,0.51815,0.0,0.0,0.0,0.50251,0.96934,0.0,0.0
0.3422,0.00927,0.00917,0.93895,0.00053,3.0,0.75536,7.13256,0.4858,1.38456,0.015,0.7,0.38776,0.0,0.09104,0.48034,0.0,0.0,0.0,0.49872,0.96073,0.0,0.0
0.34133,0.01089,0.00985,0.98,0.00042,2.99419,0.95,7.19423,0.52226,1.61012,0.01595,0.73078,0.39649,0.0,0.09354,0.51815,0.0,0.0,0.0,0.46333,0.89668,0.0,0.0
0.33571,0.01,0.01039,0.96744,0.0005,2.92527,0.8,8.00421,0.48922,1.57423,0.015,0.65267,0.38224,0.0,0.09428,0.49184,0.0,0.0,0.0,0.56155,0.93618,0.0,0.0
0.32508,0.01089,0.00861,0.98,0.00042,3.25588,0.95,7.278,0.5198,1.95382,0.01595,0.75181,0.39649,0.0,0.09429,0.59036,0.0,0.0,0.0,0.43275,1.0,0.0,0.0
0.33197,0.01028,0.00976,0.92364,0.00045,3.0,0.8,6.61301,0.47767,1.59052,0.0216,0.75168,0.4,0.0,0.08254,0.57161,0.0,0.0,0.0,0.55991,1.0,0.0,0.0
0.33552,0.00611,0.00985,0.98,0.00045,2.12441,0.87834,6.7073,0.54669,1.77279,0.01167,0.73078,0.56567,0.0,0.09387,0.51815,0.0,0.0,0.0,0.39187,0.71393,0.0,0.0
